,Date,nyc_case_count,nyc_hospitalization_count,nyc_death_count,chi_case_count,chi_hospitalization_count,chi_death_count
147,,,,,378.0,20.0,4.0
148,,,,,349.0,20.0,4.0
149,,,,,417.0,24.0,2.0
150,,,,,177.0,16.0,3.0
151,,,,,115.0,17.0,2.0
152,,,,,376.0,28.0,1.0
153,,,,,386.0,22.0,4.0
154,,,,,432.0,28.0,2.0
155,,,,,390.0,24.0,4.0
156,,,,,347.0,26.0,3.0
157,,,,,221.0,21.0,5.0
158,,,,,120.0,18.0,3.0
159,,,,,489.0,26.0,3.0
160,,,,,411.0,25.0,1.0
161,,,,,485.0,22.0,5.0
162,,,,,422.0,23.0,3.0
163,,,,,430.0,19.0,5.0
